('my', 'old', 'man'),50,0.001578631642092634
('out', 'of', 'the'),27,0.0008524610867300225
('Scripps', 'O', 'Neil'),22,0.000694597922520759
('in', 'front', 'of'),15,0.00047358949262779024
('There', 'was', 'a'),15,0.00047358949262779024
('the', 'little', 'Indian'),15,0.00047358949262779024
('It', 'was', 'a'),13,0.0004104442269440849
('the', 'young', 'gentleman'),13,0.0004104442269440849
('I', 'don', 't'),13,0.0004104442269440849
('the', 'elderly', 'waitress'),13,0.0004104442269440849
('t', 'hold', 'him'),13,0.0004104442269440849
('one', 'of', 'the'),12,0.00037887159410223217
('into', 'the', 'night'),12,0.00037887159410223217
('in', 'the', 'war'),12,0.00037887159410223217
('out', 'into', 'the'),12,0.00037887159410223217
('the', 'big', 'Indian'),12,0.00037887159410223217
('old', 'man', 'was'),11,0.0003472989612603795
('in', 'the', 'morning'),11,0.0003472989612603795
('My', 'old', 'man'),11,0.0003472989612603795
('The', 'young', 'gentleman'),11,0.0003472989612603795
('The', 'little', 'Indian'),11,0.0003472989612603795
('the', 'tall', 'Indian'),11,0.0003472989612603795
('and', 'he', "'d"),10,0.0003157263284185268
('he', 'was', 'a'),10,0.0003157263284185268
('had', 'been', 'a'),10,0.0003157263284185268
('to', 'the', 'beanery'),10,0.0003157263284185268
('front', 'of', 'the'),9,0.00028415369557667416
('old', 'man', 'and'),9,0.00028415369557667416
('there', 'was', 'a'),9,0.00028415369557667416
('The', 'two', 'Indians'),9,0.00028415369557667416
('a', 'couple', 'of'),8,0.00025258106273482145
('and', 'my', 'old'),8,0.00025258106273482145
('up', 'in', 'the'),8,0.00025258106273482145
('door', 'of', 'the'),8,0.00025258106273482145
('the', 'y', 'g'),8,0.00025258106273482145
('of', 'the', 'window'),8,0.00025258106273482145
('the', 'waitress', 'said'),8,0.00025258106273482145
('You', 'are', 'my'),8,0.00025258106273482145
('couldn', 't', 'hold'),8,0.00025258106273482145
('old', 'man', 'said'),7,0.00022100842989296877
('looked', 'at', 'him'),7,0.00022100842989296877
('down', 'the', 'street'),7,0.00022100842989296877
('the', 'door', 'of'),7,0.00022100842989296877
('went', 'into', 'the'),7,0.00022100842989296877
('opened', 'the', 'door'),7,0.00022100842989296877
('What', 'was', 'it'),7,0.00022100842989296877
('He', 'had', 'been'),7,0.00022100842989296877
('don', 't', 'know'),7,0.00022100842989296877
('in', 'the', 'pump-factory'),7,0.00022100842989296877
('are', 'my', 'woman'),7,0.00022100842989296877
('was', 'in', 'the'),7,0.00022100842989296877
('big', 'Indian', 'said'),7,0.00022100842989296877
('the', 'way', 'he'),6,0.00018943579705111609
('it', 'was', 'a'),6,0.00018943579705111609
('I', 'never', 'saw'),6,0.00018943579705111609
('I', 'could', "n't"),6,0.00018943579705111609
('and', 'there', 'was'),6,0.00018943579705111609
('back', 'of', 'the'),6,0.00018943579705111609
('of', 'the', 'old'),6,0.00018943579705111609
('was', 'a', 'good'),6,0.00018943579705111609
('He', 'was', 'a'),6,0.00018943579705111609
('it', 'was', 'the'),6,0.00018943579705111609
('walked', 'down', 'the'),6,0.00018943579705111609
('looked', 'at', 'the'),6,0.00018943579705111609
('he', 'said', 'I'),6,0.00018943579705111609
('down', 'to', 'the'),6,0.00018943579705111609
('up', 'from', 'the'),6,0.00018943579705111609
('in', 'the', 'snow'),6,0.00018943579705111609
('a', 'thing', 'or'),6,0.00018943579705111609
('thing', 'or', 'two'),6,0.00018943579705111609
('Scripps', 'said', 'You'),6,0.00018943579705111609
('He', 'did', 'not'),6,0.00018943579705111609
('Scripps', 'said', 'I'),6,0.00018943579705111609
('on', 'the', 'wall'),6,0.00018943579705111609
('of', 'the', 'beanery'),6,0.00018943579705111609
('into', 'the', 'room'),6,0.00018943579705111609
('It', 's', 'a'),6,0.00018943579705111609
('you', 'like', 'to'),6,0.00018943579705111609
('Would', 'you', 'like'),6,0.00018943579705111609
('happened', 'to', 'me'),6,0.00018943579705111609
('she', 'hold', 'him'),6,0.00018943579705111609
('She', 'couldn', 't'),6,0.00018943579705111609
('hold', 'him', 'She'),6,0.00018943579705111609
('did', 'not', 'want'),6,0.00018943579705111609
('in', 'the', 'beanery'),6,0.00018943579705111609
('I', 'blamed', 'it'),6,0.00018943579705111609
('he', "'d", 'say'),5,0.0001578631642092634
('up', 'and', 'down'),5,0.0001578631642092634
('all', 'the', 'time'),5,0.0001578631642092634
('old', 'man', 'had'),5,0.0001578631642092634
('up', 'to', 'the'),5,0.0001578631642092634
('came', 'up', 'and'),5,0.0001578631642092634
('son', 'of', 'a'),5,0.0001578631642092634
('of', 'a', 'bitch'),5,0.0001578631642092634
('and', 'then', 'he'),5,0.0001578631642092634
('out', 'in', 'front'),5,0.0001578631642092634
('went', 'out', 'to'),5,0.0001578631642092634
('and', 'he', 'was'),5,0.0001578631642092634
('over', 'to', 'the'),5,0.0001578631642092634
('on', 'the', 'other'),5,0.0001578631642092634
('on', 'their', 'way'),5,0.0001578631642092634
('came', 'into', 'the'),5,0.0001578631642092634
('knew', 'it', 'was'),5,0.0001578631642092634
('to', 'go', 'to'),5,0.0001578631642092634
('down', 'the', 'hill'),5,0.0001578631642092634
('I', 'do', "n't"),5,0.0001578631642092634
('down', 'the', 'road'),5,0.0001578631642092634
('said', 'the', 'y'),5,0.0001578631642092634
('The', 'y', 'g'),5,0.0001578631642092634
('down', 'at', 'the'),5,0.0001578631642092634
('in', 'his', 'pocket'),5,0.0001578631642092634
('There', 'was', 'no'),5,0.0001578631642092634
('of', 'the', 'pump-factory'),5,0.0001578631642092634
('in', 'the', 'air'),5,0.0001578631642092634
('the', 'sound', 'of'),5,0.0001578631642092634
('up', 'at', 'the'),5,0.0001578631642092634
('It', 'was', 'no'),5,0.0001578631642092634
('My', 'wife', 'left'),5,0.0001578631642092634
('wife', 'left', 'me'),5,0.0001578631642092634
('BEST', 'BY', 'TEST'),5,0.0001578631642092634
('on', 'the', 'counter'),5,0.0001578631642092634
('The', 'elderly', 'waitress'),5,0.0001578631642092634
('with', 'my', 'mother'),5,0.0001578631642092634
('One', 'of', 'the'),5,0.0001578631642092634
('Yogi', 'Johnson', 'said'),5,0.0001578631642092634
('Yogi', 'said', 'I'),5,0.0001578631642092634
